,,,E/T/L,古典,流行,摇滚,民谣,爵士,电子,轻音乐
0,0,0,111,,,,,,,
1,1,1,112,,,,,,,
2,2,2,113,,,,,,,
3,3,3,114,,,,,,,
4,4,4,121,,,,,,,
5,5,5,122,,,,,,,
6,6,6,123,,,,,,,
7,7,7,124,,,,,,,
8,8,8,131,,,,,,,
9,9,9,132,,,,,,,
10,10,10,133,,,,,,,
11,11,11,134,,,,,,,
12,12,12,141,,,,,,,
13,13,13,142,,,,,,,
14,14,14,143,,,,,,,
15,15,15,144,,,,,,,
16,16,16,211,,,,,,,
17,17,17,212,,,,,,,
18,18,18,213,,,,,,,
19,19,19,214,,,,,,,
20,20,20,221,,,,,,,
21,21,21,222,,,,,,,
22,22,22,223,,,,,,,
23,23,23,224,,,,,,,
24,24,24,231,,,,,,,
25,25,25,232,,,,,,,
26,26,26,233,,,,,,,
27,27,27,234,,,,,,,
28,28,28,241,,,,,,,
29,29,29,242,,,,,,,
30,30,30,243,,,,,,,
31,31,31,244,,,,,,,
32,32,32,311,,,,,,,
33,33,33,312,,,,,,,
34,34,34,313,,,,,,,
35,35,35,314,,,,,,,
36,36,36,321,,,,,,,
37,37,37,322,,,,,,,
38,38,38,323,,,,,,,
39,39,39,324,,,,,,,
40,40,40,331,,,,,,,
41,41,41,332,,,,,,,
42,42,42,333,,,,,,,
43,43,43,334,,,,,,,
44,44,44,341,,,,,,,
45,45,45,342,,,,,,,
46,46,46,343,,,,,,,
47,47,47,344,,,,,,,
48,48,48,411,,,,,,,
49,49,49,412,,,,,,,
50,50,50,413,,,,,,,
51,51,51,414,15,10,,,,,
52,52,52,421,,,,,,,
53,53,53,422,,,,,,,
54,54,54,423,,,,,,,
55,55,55,424,35,24,10,5,1,1,
56,56,56,431,,,,,,,
57,57,57,432,,,,,,,
58,58,58,433,,,,,,,
59,59,59,434,,,,,,,
60,60,60,441,,,,,,,
61,61,61,442,,,,,,,
62,62,62,443,,,,,,,
63,63,63,444,,,,,,,
64,64,64,511,,,,,,,
65,65,65,512,,,,,,,
66,66,66,513,,,,,,,
67,67,67,514,,,,,,,
68,68,68,521,,,,,,,
69,69,69,522,,,,,,,
70,70,70,523,,,,,,,
71,71,71,524,,,,,,,
72,72,72,531,,,,,,,
73,73,73,532,,,,,,,
74,74,74,533,,,,,,,
75,75,75,534,,,,,,,
76,76,76,541,,,,,,,
77,77,77,542,,,,,,,
78,78,78,543,,,,,,,
79,79,79,544,,,,,,,
80,80,80,611,,,,,,,
81,81,81,612,,,,,,,
82,82,82,613,,,,,,,
83,83,83,614,,,,,,,
84,84,84,621,,,,,,,
85,85,85,622,,,,,,,
86,86,86,623,,,,,,,
87,87,87,624,,,,,,,
88,88,88,631,,,,,,,
89,89,89,632,,,,,,,
90,90,90,633,,,,,,,
91,91,91,634,,,,,,,
92,92,92,641,,,,,,,
93,93,93,642,,,,,,,
94,94,94,643,,,,,,,
95,95,95,644,,,,,,,
96,96,96,711,,,,,,,
97,97,97,712,,,,,,,
98,98,98,713,,,,,,,
99,99,99,714,,,,,,,
100,100,100,721,,,,,,,
101,101,101,722,,,,,,,
102,102,102,723,,,,,,,
103,103,103,724,,,,,,,
104,104,104,731,,,,,,,
105,105,105,732,,,,,,,
106,106,106,733,,,,,,,
107,107,107,734,,,,,,,
108,108,108,741,,,,,,,
109,109,109,742,,,,,,,
110,110,110,743,,,,,,,
111,111,111,744,,,,,,,
